"Beta","Gamma","Rho","N","S0","I0","R0","Sigma","loglik","loglik.se"
3.54580405393328,1.63027643984388,0.878995595875245,762,761,1,0,0.3324675,-83.5494505049323,1.43964222941364
3.47970624986266,1.9085345074385,0.949280156159613,762,761,1,0,0.3324675,-83.6389969563993,0.71288389891738
3.80238397887851,2.18073935571082,0.927588158960541,762,761,1,0,0.3324675,-83.9205662688494,0.911954076951873
3.79308852586416,2.00981018821781,0.887280810520773,762,761,1,0,0.3324675,-84.7572183062317,0.470790819834308
3.46870106311132,2.061382229857,0.960683862839388,762,761,1,0,0.3324675,-84.8137392318578,0.746926730321755
3.85494724016828,2.26006898458042,0.964639021543896,762,761,1,0,0.3324675,-84.9554271312226,0.391648481820461
4.35749812707626,2.83855829772667,0.999867117674005,762,761,1,0,0.3324675,-85.0955465095908,0.360220299400194
3.43851880747425,1.99622504010714,0.971632034468112,762,761,1,0,0.3324675,-85.1591361589085,1.49830672777178
3.58076774215839,1.9231118170101,0.896514179206147,762,761,1,0,0.3324675,-85.1968631219507,0.951909983169369
3.38285370800164,2.13884105568789,0.995605704813504,762,761,1,0,0.3324675,-85.2366463174547,0.256909668081206
3.52345507940046,2.15546725310342,0.965076070440159,762,761,1,0,0.3324675,-85.2816492085256,0.267268773392044
4.23462808991192,2.28336450776917,0.902883113081359,762,761,1,0,0.3324675,-85.3031772623055,0.734477893307748
3.87510561451689,2.16426180302028,0.957703320531643,762,761,1,0,0.3324675,-85.4569551842292,0.649804033240174
3.76042942281636,1.84207364034179,0.854302074236414,762,761,1,0,0.3324675,-85.615460168967,1.02918026279159
3.32593987635937,1.7793548262707,0.884573181728164,762,761,1,0,0.3324675,-85.7249719792929,0.986555690817525
3.52208682478384,1.36701979548271,0.811813525172593,762,761,1,0,0.3324675,-85.828935746235,2.25691442653761
4.28938769193441,2.77362710372795,0.968859464311215,762,761,1,0,0.3324675,-85.9135093378726,0.251663661044666
3.1197401652093,1.40023975843894,0.835846715345588,762,761,1,0,0.3324675,-85.9486369783656,2.32382192325598
3.15109066148826,1.59071309187573,0.916941506928179,762,761,1,0,0.3324675,-86.1026001930752,0.362580591088636
4.09349453363679,2.28945952840864,0.897396687396169,762,761,1,0,0.3324675,-86.1577614545067,0.263422254163661
3.63861453794789,1.86437580579553,0.853514866502247,762,761,1,0,0.3324675,-86.1666872722142,0.430607307177684
4.04478895100231,2.3835375304612,0.933112897233534,762,761,1,0,0.3324675,-86.2012192080148,0.413570428699824
3.93275352938459,1.96680984822941,0.891829615062743,762,761,1,0,0.3324675,-86.2422644639333,0.340042851388564
3.47773497333111,1.87273588462571,0.908407191772201,762,761,1,0,0.3324675,-86.2575034042227,0.347203230663031
3.59897233575822,1.64981471977361,0.820506236942668,762,761,1,0,0.3324675,-86.3249778955749,0.915283115435
3.76299969240991,1.8825514073733,0.845243231794274,762,761,1,0,0.3324675,-86.3472766023827,0.879605758267372
3.96689311827034,1.6381179491912,0.809084848901081,762,761,1,0,0.3324675,-86.362218516992,0.780623913824226
3.52373827979541,1.99225276826067,0.962981251902248,762,761,1,0,0.3324675,-86.3853553844549,0.361389442456598
3.67058278270073,1.98710957275358,0.876129134822813,762,761,1,0,0.3324675,-86.394326193503,0.417694994265293
3.59550616328808,2.18963384816816,0.961289044371822,762,761,1,0,0.3324675,-86.3956928584576,0.204394371058832
3.55859002493568,1.4672471914757,0.820325546884967,762,761,1,0,0.3324675,-86.5362518406946,0.78676875800027
3.45679422316567,1.65934654209543,0.842138622967345,762,761,1,0,0.3324675,-86.5803046916822,1.38539121275713
3.66225344399135,1.47376151554953,0.807250697814228,762,761,1,0,0.3324675,-86.659354304723,0.671926885249941
3.18641694304196,1.54429424386903,0.844869033369077,762,761,1,0,0.3324675,-86.7065308444123,0.442327097283129
4.0192177220708,1.89263238407436,0.922601165683251,762,761,1,0,0.3324675,-86.7335105039429,0.844203323496578
3.55051262024173,1.67658895678439,0.85681749081645,762,761,1,0,0.3324675,-86.7637401888439,0.608065993943555
3.29855904915526,1.52465267776736,0.863108559959031,762,761,1,0,0.3324675,-86.7753261302942,0.59739691508656
3.66235437381258,1.55017715635653,0.849442527794241,762,761,1,0,0.3324675,-86.8686522809407,0.314355937856057
3.24682416628659,1.50592211359795,0.839104990677149,762,761,1,0,0.3324675,-86.878523345362,0.721641228319678
3.27408046781454,1.39697864334249,0.8272026157434,762,761,1,0,0.3324675,-86.8823760301857,1.42977593798938
3.93078116687266,1.8120827064302,0.854532846547348,762,761,1,0,0.3324675,-86.9009825731776,0.414703974109545
3.80152480563131,1.63467558439975,0.826266957866229,762,761,1,0,0.3324675,-87.0566786100054,0.367736294005401
3.44005577939625,1.53363155565029,0.828526768218385,762,761,1,0,0.3324675,-87.068791654115,0.4240503372193
3.53853387965991,1.76841155557546,0.831983980199073,762,761,1,0,0.3324675,-87.0967923372964,0.68976204570202
3.49677621707998,1.61692895589876,0.806687700702996,762,761,1,0,0.3324675,-87.1071966733267,0.588953382383274
3.90040902975309,1.88324638526255,0.914064333664776,762,761,1,0,0.3324675,-87.1316471030558,0.354885837589655
3.6755940428853,1.79773541358136,0.86762735125825,762,761,1,0,0.3324675,-87.3239808510252,0.160327279046204
3.20474983343868,1.61588849343253,0.871863238723919,762,761,1,0,0.3324675,-87.3791667100163,0.383915651284973
3.35776657351252,1.38865516598559,0.827310962878833,762,761,1,0,0.3324675,-87.4124733063288,0.581577112147236
3.58405788425493,1.29347781126767,0.791232049295508,762,761,1,0,0.3324675,-87.4555651165031,0.390977601075065
3.09324024873281,1.65530014495068,0.912468156395973,762,761,1,0,0.3324675,-87.4831822698937,0.303099740585017
3.65818546523612,1.51068246981385,0.80839888076251,762,761,1,0,0.3324675,-87.4855328749138,0.692250685927975
3.66937769801492,1.37264838421104,0.804581943052882,762,761,1,0,0.3324675,-87.538468995275,0.77706067935899
4.20962163755565,2.20200707093867,0.856122248526422,762,761,1,0,0.3324675,-87.6148831341111,0.280027843642183
3.54467749861453,1.58571432487053,0.854013614558205,762,761,1,0,0.3324675,-87.6469037156542,0.478029123702248
3.91802492928033,1.54783688610502,0.80526786663171,762,761,1,0,0.3324675,-87.7954953584032,0.59226856493187
3.34843880043169,1.40901341588289,0.826251111303808,762,761,1,0,0.3324675,-87.8169912724685,0.616202946626498
3.72038896432845,1.84926165941359,0.811149934530715,762,761,1,0,0.3324675,-87.8476666836994,0.56829704709306
3.40193466525621,1.51665233295986,0.796607842903776,762,761,1,0,0.3324675,-87.9129166731497,0.583715097647248
3.56638820388177,1.32594960942575,0.827263860683372,762,761,1,0,0.3324675,-87.9464359273655,0.416016324344161
3.15235980531156,1.09441773562537,0.790911802687012,762,761,1,0,0.3324675,-88.0174206248866,1.34135591625496
3.79810200707953,1.45530073175086,0.816173184357067,762,761,1,0,0.3324675,-88.0572393070623,0.415690572774687
3.08842982145108,1.48460993714106,0.843351557920388,762,761,1,0,0.3324675,-88.0881483306645,0.381495275005025
3.0197781473455,1.63426436089137,0.85723197739964,762,761,1,0,0.3324675,-88.1118666514112,1.70590735018989
3.49817417043293,1.42069492549592,0.849124714982897,762,761,1,0,0.3324675,-88.1282505828271,0.70647184082984
3.74718633625152,1.54812008190224,0.80138138743729,762,761,1,0,0.3324675,-88.2750572093841,0.546536904487331
4.31178480332517,1.96742354315885,0.836237682028107,762,761,1,0,0.3324675,-88.3251777867234,0.618648639865503
3.49343068173682,1.33232141695164,0.805074606114706,762,761,1,0,0.3324675,-88.3551909283855,0.452983786939677
3.81456254083047,1.80348755360281,0.813623137869887,762,761,1,0,0.3324675,-88.3954162347361,0.504411330207266
3.78786289582627,1.53509087419862,0.760259664792043,762,761,1,0,0.3324675,-88.4151998929338,1.19807411311823
3.66374579814765,1.42707038725499,0.810225794383971,762,761,1,0,0.3324675,-88.4365698398142,1.00389703981851
3.30308952719154,1.33156637436723,0.804856679021858,762,761,1,0,0.3324675,-88.4455093315738,0.383946764780902
3.36134841924044,1.02040080686154,0.801511936716236,762,761,1,0,0.3324675,-88.5181146480047,1.91559408162572
3.80870163814128,1.89460216762824,0.828834508613752,762,761,1,0,0.3324675,-88.5298683203886,0.513988958433231
3.41181962193617,1.59529853418015,0.809229750921346,762,761,1,0,0.3324675,-88.5383478941269,0.354109530648855
3.35478224407589,1.12000306830483,0.776231233372392,762,761,1,0,0.3324675,-88.7431113963829,1.13912640510217
3.29344891604713,1.55043792022535,0.823925943851522,762,761,1,0,0.3324675,-88.7827213704967,0.37220018684656
3.21346427012069,1.25151985055769,0.788985950165028,762,761,1,0,0.3324675,-89.0940888298877,0.520158846681708
4.43077025060114,1.90662132907515,0.790393464460761,762,761,1,0,0.3324675,-89.1190750495072,0.2734263180241
3.57808823707063,1.33700612029058,0.781038960029313,762,761,1,0,0.3324675,-89.2330225322785,0.215642022209662
3.35160307191983,1.24266561555016,0.799992818013151,762,761,1,0,0.3324675,-89.3881433586117,0.325078796891795
3.31144785812985,1.21861192228006,0.849084633998563,762,761,1,0,0.3324675,-89.4605586509577,0.381191321609353
3.13978560006134,1.21938620670581,0.79689416784698,762,761,1,0,0.3324675,-89.586205285694,0.405099524144445
2.97593767995566,1.18599889400435,0.828097282168657,762,761,1,0,0.3324675,-89.7852577513459,0.820865288095349
3.53501705698818,1.07275923661983,0.760158274852636,762,761,1,0,0.3324675,-89.9159105638483,0.665937503962849
3.44359112403443,1.18213158565245,0.769266759834382,762,761,1,0,0.3324675,-90.1400659936904,0.968255114988251
2.9524083473971,1.21203424286829,0.850871499255015,762,761,1,0,0.3324675,-90.6646024903517,0.299830113079879
3.75522863103698,1.8118737959774,0.765819413892675,762,761,1,0,0.3324675,-91.1381047523276,0.283596320554623
4.41704535405452,0.232850029365735,0.990086325273865,762,761,1,0,0.3324675,-185.380642039725,1.22098668138351
5.49785230264424,0.191409944660399,0.834929067996856,762,761,1,0,0.3324675,-197.496767944724,0.74848923513944
6.27761241939837,0.181616485578538,0.790940012111691,762,761,1,0,0.3324675,-205.392929756864,0.953739287018769
2.83793935930744,0.158710704428353,0.880001653451344,762,761,1,0,0.3324675,-229.281484545803,3.41829147411113
1.09117653700859,0.933839836714875,0.983052851061796,762,761,1,0,0.3324675,-273.304962426721,4.88642749423457
6.97642322948091,0.0552461946706957,0.822074929621174,762,761,1,0,0.3324675,-306.521743011669,0.586848038964844
0.84814491767579,1.16376546309219,0.720981826965278,762,761,1,0,0.3324675,-352.388399543927,0.606633975189984
0.766200881132916,0.579795319192608,0.608821598829951,762,761,1,0,0.3324675,-367.602733094437,1.74118166454831
0.671265681740177,0.346568455099807,0.791959994256426,762,761,1,0,0.3324675,-395.057405813515,1.84636844852555
0.533869245965432,0.0986228294939808,0.66424679807565,762,761,1,0,0.3324675,-407.409615727656,0.434881683336213
0.209644945145015,2.42102476100295,0.955437258409158,762,761,1,0,0.3324675,-412.465427360725,7.14966011936938
0.199587194518648,0.555722539732649,0.795537989008727,762,761,1,0,0.3324675,-421.079879097007,2.30781724846925
