Time,Count
0,0
1,1
2,1
3,3
4,12
5,32
6,82
7,170
8,337
9,564
10,854
11,1250
12,1760
13,2396
14,3090
15,3792
16,4431
17,5064
18,5673
19,6204
20,6674
21,7051
22,7369
23,7594
24,7756
25,7859
26,7895
27,7846
28,7764
29,7595
30,7394
31,7138
32,6852
33,6505
34,6167
35,5803
36,5400
37,5057
38,4666
39,4291
40,3974
41,3608
42,3274
43,2949
44,2634
45,2376
46,2084
47,1866
48,1671
49,1490
50,1322
51,1162
52,1015
53,885
54,776
55,669
56,585
57,498
58,437
59,372
60,326
61,279
62,248
63,214
64,191
65,165
66,140
67,118
68,100
69,89
70,77
71,65
72,50
73,40
74,33
75,31
76,23
77,19
78,18
79,13
80,10
81,10
82,9
83,8
84,5
85,5
86,4
87,3
88,3
89,3
90,2
91,2
92,2
93,1
94,1
95,2
96,2
97,2
98,2
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,0
117,0
118,0
119,0
120,0
121,0
