day,cycle,contact_name,contact_covariate_X,individual_name,individual_covariate_Y
3,12,Individual6876,0.0,Individual2430,1.0
3,13,Individual303,1.0,Individual6229,1.0
3,13,Individual6965,0.0,Individual2430,1.0
3,13,Individual1650,0.0,Individual2430,1.0
3,14,Individual8109,0.0,Individual2430,1.0
3,14,Individual3966,1.0,Individual2430,1.0
3,15,Individual3260,0.0,Individual2430,1.0
3,15,Individual4,1.0,Individual2430,1.0
3,15,Individual52,1.0,Individual2430,1.0
4,17,Individual431,0.0,Individual7811,0.0
4,17,Individual7787,0.0,Individual7811,0.0
4,17,Individual7800,1.0,Individual2430,1.0
4,18,Individual2392,1.0,Individual6243,0.0
4,18,Individual1810,0.0,Individual6929,0.0
4,18,Individual4785,1.0,Individual6929,0.0
4,18,Individual1937,1.0,Individual6929,0.0
4,18,Individual7948,1.0,Individual2430,1.0
4,18,Individual6796,0.0,Individual2430,1.0
4,18,Individual4959,0.0,Individual2430,1.0
4,18,Individual7664,0.0,Individual9151,1.0
4,18,Individual218,0.0,Individual9151,1.0
4,19,Individual2708,1.0,Individual6229,1.0
4,19,Individual1142,1.0,Individual2430,1.0
4,19,Individual233,1.0,Individual6243,0.0
4,19,Individual5787,0.0,Individual9151,1.0
4,19,Individual5019,1.0,Individual4432,0.0
4,19,Individual8329,1.0,Individual4432,0.0
4,19,Individual6755,0.0,Individual7811,0.0
5,20,Individual826,1.0,Individual206,1.0
5,20,Individual1464,1.0,Individual206,1.0
5,20,Individual2808,0.0,Individual9151,1.0
5,20,Individual8421,0.0,Individual9151,1.0
5,20,Individual6676,0.0,Individual9151,1.0
5,20,Individual7504,1.0,Individual2430,1.0
5,20,Individual6643,1.0,Individual2430,1.0
5,20,Individual1486,1.0,Individual6086,1.0
5,21,Individual5535,0.0,Individual6243,0.0
5,21,Individual2092,0.0,Individual409,0.0
5,21,Individual5544,0.0,Individual9151,1.0
5,21,Individual4176,1.0,Individual9151,1.0
5,21,Individual5754,1.0,Individual3130,0.0
5,21,Individual4877,0.0,Individual3090,0.0
5,22,Individual6408,0.0,Individual8984,0.0
5,22,Individual4961,1.0,Individual3090,0.0
5,22,Individual554,0.0,Individual6243,0.0
5,22,Individual9032,1.0,Individual6243,0.0
5,22,Individual3388,1.0,Individual6929,0.0
5,22,Individual8219,1.0,Individual2379,1.0
5,22,Individual4489,0.0,Individual2379,1.0
5,22,Individual6714,1.0,Individual2379,1.0
5,22,Individual3544,0.0,Individual2379,1.0
5,22,Individual3726,1.0,Individual4432,0.0
5,22,Individual2497,1.0,Individual7023,0.0
5,22,Individual2984,1.0,Individual9151,1.0
5,22,Individual5353,1.0,Individual9151,1.0
5,22,Individual759,1.0,Individual409,0.0
5,23,Individual4125,1.0,Individual715,1.0
5,23,Individual3672,1.0,Individual206,1.0
5,23,Individual1645,1.0,Individual7023,0.0
5,23,Individual6946,1.0,Individual639,0.0
5,23,Individual3336,0.0,Individual6243,0.0
5,23,Individual4295,1.0,Individual1460,0.0
5,23,Individual4119,0.0,Individual1460,0.0
5,23,Individual2349,1.0,Individual303,1.0
5,23,Individual7653,1.0,Individual303,1.0
5,23,Individual2370,1.0,Individual409,0.0
5,23,Individual6539,0.0,Individual8984,0.0
5,23,Individual5713,0.0,Individual8984,0.0
5,23,Individual8100,0.0,Individual8984,0.0
5,23,Individual2073,1.0,Individual3090,0.0
5,23,Individual3936,0.0,Individual6929,1.0
5,23,Individual7534,0.0,Individual2430,1.0
6,24,Individual7849,1.0,Individual714,0.0
6,24,Individual5237,1.0,Individual3090,0.0
6,24,Individual8394,1.0,Individual3090,0.0
6,24,Individual8789,0.0,Individual4495,1.0
6,24,Individual6302,0.0,Individual303,1.0
6,24,Individual6267,1.0,Individual3168,0.0
6,24,Individual3786,1.0,Individual3168,0.0
6,24,Individual547,1.0,Individual2410,1.0
6,24,Individual2464,1.0,Individual607,0.0
6,24,Individual1669,1.0,Individual1460,0.0
6,24,Individual1280,1.0,Individual1460,0.0
6,24,Individual5598,1.0,Individual2430,1.0
6,24,Individual4989,1.0,Individual6929,1.0
6,25,Individual7690,1.0,Individual7023,0.0
6,25,Individual2454,0.0,Individual7023,0.0
6,25,Individual754,1.0,Individual2430,1.0
6,25,Individual8313,0.0,Individual2430,1.0
6,25,Individual7406,1.0,Individual2430,1.0
6,25,Individual5463,1.0,Individual2430,1.0
6,25,Individual9103,1.0,Individual2430,1.0
6,25,Individual3024,1.0,Individual3090,0.0
6,25,Individual8531,1.0,Individual715,1.0
6,25,Individual1779,1.0,Individual715,1.0
6,25,Individual560,1.0,Individual1460,0.0
6,25,Individual571,1.0,Individual3743,1.0
6,25,Individual1116,1.0,Individual4446,1.0
6,25,Individual8049,0.0,Individual4446,1.0
6,25,Individual5620,1.0,Individual303,1.0
6,25,Individual1105,0.0,Individual6243,0.0
6,25,Individual9176,0.0,Individual4049,1.0
6,25,Individual3442,1.0,Individual4049,1.0
6,25,Individual3592,1.0,Individual4049,1.0
6,25,Individual139,1.0,Individual4049,1.0
6,25,Individual5430,0.0,Individual4049,1.0
6,25,Individual2417,1.0,Individual4049,1.0
6,25,Individual8803,1.0,Individual6231,0.0
6,25,Individual5214,1.0,Individual274,0.0
6,25,Individual4934,1.0,Individual274,0.0
6,25,Individual8889,1.0,Individual639,0.0
6,25,Individual8253,0.0,Individual639,0.0
6,25,Individual5564,1.0,Individual639,0.0
6,25,Individual4313,0.0,Individual409,0.0
6,25,Individual3495,1.0,Individual206,1.0
6,25,Individual8775,0.0,Individual206,1.0
6,25,Individual8042,0.0,Individual206,1.0
6,25,Individual83,0.0,Individual206,1.0
6,25,Individual7661,1.0,Individual6005,0.0
6,25,Individual2167,1.0,Individual6005,0.0
6,25,Individual9090,1.0,Individual2379,1.0
6,25,Individual8629,1.0,Individual2379,1.0
6,25,Individual243,0.0,Individual2410,1.0
6,25,Individual1905,0.0,Individual1878,1.0
6,25,Individual8893,0.0,Individual5413,0.0
6,25,Individual2426,0.0,Individual5413,0.0
6,25,Individual4542,1.0,Individual1675,1.0
6,25,Individual7336,0.0,Individual6929,1.0
6,26,Individual5658,1.0,Individual2379,1.0
6,26,Individual2234,0.0,Individual2379,1.0
6,26,Individual8613,0.0,Individual6231,0.0
6,26,Individual171,0.0,Individual3869,0.0
6,26,Individual1809,0.0,Individual3869,0.0
6,26,Individual1682,0.0,Individual2524,1.0
6,26,Individual8321,1.0,Individual2524,1.0
6,26,Individual76,0.0,Individual2821,0.0
6,26,Individual6403,0.0,Individual4353,0.0
6,26,Individual8787,0.0,Individual6929,1.0
6,26,Individual7069,0.0,Individual6929,1.0
6,26,Individual8473,1.0,Individual6929,1.0
6,26,Individual3828,0.0,Individual4049,1.0
6,26,Individual7055,1.0,Individual4049,1.0
6,26,Individual6554,1.0,Individual826,1.0
6,26,Individual400,0.0,Individual1942,0.0
