day,cycle,susceptible,latent,infected,recovered,dead
0,0,9195,10,0,0,0
0,1,9195,10,0,0,0
0,2,9195,10,0,0,0
0,3,9195,10,0,0,0
1,4,9195,10,0,0,0
1,5,9195,10,0,0,0
1,6,9195,10,0,0,0
1,7,9195,9,1,0,0
2,8,9195,9,1,0,0
2,9,9195,9,1,0,0
2,10,9195,9,1,0,0
2,11,9195,9,1,0,0
3,12,9195,8,2,0,0
3,13,9180,23,2,0,0
3,14,9159,44,2,0,0
3,15,9122,80,3,0,0
4,16,9089,112,4,0,0
4,17,9050,149,6,0,0
4,18,9038,157,10,0,0
4,19,8986,207,12,0,0
5,20,8932,253,20,0,0
5,21,8838,344,23,0,0
5,22,8728,449,28,0,0
5,23,8600,573,32,0,0
6,24,8496,664,45,0,0
6,25,8417,731,57,0,0
6,26,8282,852,71,0,0
6,27,8193,930,82,0,0
7,28,8119,984,102,0,0
7,29,8021,1065,119,0,0
7,30,7886,1178,141,0,0
7,31,7736,1299,170,0,0
8,32,7577,1431,197,0,0
8,33,7421,1550,234,0,0
8,34,7243,1674,288,0,0
8,35,7037,1831,337,0,0
9,36,6812,2009,384,0,0
9,37,6606,2173,426,0,0
9,38,6399,2314,492,0,0
9,39,6097,2544,564,0,0
10,40,5809,2760,636,0,0
10,41,5595,2912,698,0,0
10,42,5372,3064,769,0,0
10,43,5103,3248,854,0,0
11,44,4835,3416,954,0,0
11,45,4621,3531,1053,0,0
11,46,4422,3630,1153,0,0
11,47,4166,3789,1250,0,0
12,48,3916,3926,1363,0,0
12,49,3721,4005,1479,0,0
12,50,3513,4068,1624,0,0
12,51,3283,4162,1760,0,0
13,52,3073,4212,1920,0,0
13,53,2904,4235,2066,0,0
13,54,2759,4215,2231,0,0
13,55,2624,4185,2396,0,0
14,56,2455,4178,2572,0,0
14,57,2320,4118,2767,0,0
14,58,2177,4095,2933,0,0
14,59,2029,4086,3090,0,0
15,60,1862,4067,3276,0,0
15,61,1769,4009,3427,0,0
15,62,1668,3942,3595,0,0
15,63,1558,3855,3792,0,0
16,64,1457,3811,3937,0,0
16,65,1373,3731,4100,1,0
16,66,1285,3650,4268,2,0
16,67,1188,3582,4431,4,0
17,68,1086,3525,4590,4,0
17,69,1027,3423,4750,5,0
17,70,969,3321,4910,5,0
17,71,904,3232,5064,5,0
18,72,847,3141,5212,5,0
18,73,788,3049,5363,5,0
18,74,751,2925,5523,6,0
18,75,690,2835,5673,7,0
19,76,640,2739,5817,9,0
19,77,604,2643,5946,12,0
19,78,562,2551,6077,15,0
19,79,528,2455,6204,18,0
20,80,496,2366,6324,19,0
20,81,465,2265,6446,29,0
20,82,439,2167,6565,34,0
20,83,416,2076,6674,39,0
