Time,Count
0,0
1,0
2,4
3,1
4,1
5,2
6,2
7,2
8,4
9,3
10,9
11,13
12,20
13,23
14,37
15,41
16,54
17,88
18,119
19,163
20,203
21,269
22,295
23,307
24,420
25,431
26,492
27,452
28,471
29,472
30,444
31,373
32,358
33,349
34,296
35,252
36,252
37,196
38,208
39,180
40,173
41,153
42,134
43,125
44,97
45,105
46,94
47,58
48,76
49,52
50,47
51,47
52,45
53,41
54,28
55,30
56,24
57,23
58,16
59,29
60,15
61,22
62,13
63,15
64,13
65,8
66,11
67,2
68,5
69,9
70,6
71,8
72,5
73,1
74,3
75,3
76,3
77,3
78,3
79,2
80,1
81,2
82,2
83,2
84,0
85,0
86,1
87,1
88,1
89,1
90,0
91,1
92,0
93,1
94,0
95,1
96,0
97,0
98,0
99,2
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
