day,cycle,susceptible,latent,infected,recovered,dead
0,0,9195,10,0,0,0
0,1,9195,10,0,0,0
0,2,9195,10,0,0,0
0,3,9195,10,0,0,0
1,4,9195,10,0,0,0
1,5,9195,10,0,0,0
1,6,9195,10,0,0,0
1,7,9195,10,0,0,0
2,8,9195,10,0,0,0
2,9,9195,10,0,0,0
2,10,9195,10,0,0,0
2,11,9195,10,0,0,0
3,12,9195,10,0,0,0
3,13,9195,10,0,0,0
3,14,9195,10,0,0,0
3,15,9195,10,0,0,0
4,16,9195,10,0,0,0
4,17,9195,9,1,0,0
4,18,9195,8,2,0,0
4,19,9195,8,2,0,0
5,20,9194,9,2,0,0
5,21,9194,9,2,0,0
5,22,9193,7,5,0,0
5,23,9182,18,5,0,0
6,24,9157,43,5,0,0
6,25,9110,90,5,0,0
6,26,9071,129,5,0,0
6,27,9053,144,8,0,0
7,28,9037,158,10,0,0
7,29,9013,182,10,0,0
7,30,8955,236,14,0,0
7,31,8874,310,21,0,0
8,32,8818,365,22,0,0
8,33,8745,431,29,0,0
8,34,8681,488,36,0,0
8,35,8585,574,46,0,0
9,36,8510,635,60,0,0
9,37,8427,704,74,0,0
9,38,8299,816,90,0,0
9,39,8150,946,109,0,0
10,40,8048,1030,127,0,0
10,41,7937,1120,148,0,0
10,42,7813,1219,173,0,0
10,43,7670,1336,199,0,0
11,44,7554,1427,224,0,0
11,45,7429,1514,262,0,0
11,46,7275,1629,301,0,0
11,47,7137,1718,350,0,0
12,48,7011,1794,400,0,0
12,49,6869,1895,441,0,0
12,50,6716,1999,490,0,0
12,51,6574,2072,559,0,0
13,52,6448,2138,619,0,0
13,53,6285,2237,683,0,0
13,54,6141,2315,749,0,0
13,55,6028,2356,821,0,0
14,56,5897,2410,898,0,0
14,57,5753,2476,976,0,0
14,58,5605,2534,1066,0,0
14,59,5446,2598,1161,0,0
15,60,5294,2654,1257,0,0
15,61,5135,2708,1362,0,0
15,62,4992,2740,1473,0,0
15,63,4823,2811,1571,0,0
16,64,4674,2877,1654,0,0
16,65,4520,2930,1755,0,0
16,66,4397,2949,1859,0,0
16,67,4270,2975,1959,1,0
17,68,4132,3001,2071,1,0
17,69,3991,3038,2175,1,0
17,70,3840,3062,2302,1,0
17,71,3690,3099,2415,1,0
18,72,3536,3141,2526,2,0
18,73,3421,3133,2649,2,0
18,74,3288,3147,2767,3,0
18,75,3165,3147,2890,3,0
19,76,3042,3146,3014,3,0
19,77,2908,3153,3141,3,0
19,78,2806,3106,3289,4,0
19,79,2697,3094,3410,4,0
20,80,2587,3080,3532,6,0
20,81,2492,3025,3681,7,0
20,82,2402,2981,3814,8,0
20,83,2304,2927,3966,8,0
