day,cycle,susceptible,latent,infected,recovered,dead
0,0,9195,10,0,0,0
0,1,9195,10,0,0,0
0,2,9195,10,0,0,0
0,3,9195,10,0,0,0
1,4,9195,10,0,0,0
1,5,9195,10,0,0,0
1,6,9195,10,0,0,0
1,7,9195,10,0,0,0
2,8,9195,9,1,0,0
2,9,9195,9,1,0,0
2,10,9195,8,2,0,0
2,11,9195,8,2,0,0
3,12,9194,8,3,0,0
3,13,9194,7,4,0,0
3,14,9193,8,4,0,0
3,15,9189,11,5,0,0
4,16,9187,13,5,0,0
4,17,9185,14,6,0,0
4,18,9185,14,6,0,0
4,19,9180,18,7,0,0
5,20,9176,22,7,0,0
5,21,9175,23,7,0,0
5,22,9174,24,7,0,0
5,23,9170,28,7,0,0
6,24,9169,29,7,0,0
6,25,9166,31,8,0,0
6,26,9163,33,9,0,0
6,27,9158,36,11,0,0
7,28,9156,38,11,0,0
7,29,9153,40,12,0,0
7,30,9149,43,13,0,0
7,31,9147,44,14,0,0
8,32,9138,51,16,0,0
8,33,9133,55,17,0,0
8,34,9131,54,20,0,0
8,35,9130,55,20,0,0
9,36,9125,58,22,0,0
9,37,9119,59,27,0,0
9,38,9113,63,29,0,0
9,39,9106,69,30,0,0
10,40,9085,88,32,0,0
10,41,9080,92,33,0,0
10,42,9065,106,34,0,0
10,43,9043,120,42,0,0
11,44,9023,137,45,0,0
11,45,9007,151,47,0,0
11,46,8991,164,50,0,0
11,47,8955,194,56,0,0
12,48,8925,215,65,0,0
12,49,8910,221,74,0,0
12,50,8878,247,80,0,0
12,51,8849,264,92,0,0
13,52,8807,297,101,0,0
13,53,8782,315,108,0,0
13,54,8745,348,112,0,0
13,55,8722,358,125,0,0
14,56,8710,368,127,0,0
14,57,8702,370,133,0,0
14,58,8673,386,146,0,0
14,59,8639,405,161,0,0
15,60,8578,452,175,0,0
15,61,8538,477,190,0,0
15,62,8492,504,209,0,0
15,63,8427,555,223,0,0
16,64,8350,617,238,0,0
16,65,8298,648,259,0,0
16,66,8238,690,277,0,0
16,67,8142,758,305,0,0
17,68,8033,837,335,0,0
17,69,7939,905,361,0,0
17,70,7842,978,385,0,0
17,71,7703,1087,415,0,0
18,72,7553,1207,445,0,0
18,73,7459,1269,477,0,0
18,74,7345,1356,504,0,0
18,75,7198,1474,533,0,0
19,76,7074,1555,576,0,0
19,77,6989,1593,623,0,0
19,78,6881,1647,677,0,0
19,79,6729,1748,728,0,0
20,80,6579,1841,785,0,0
20,81,6463,1907,835,0,0
20,82,6367,1947,891,0,0
20,83,6285,1966,954,0,0
21,84,6225,1966,1014,0,0
21,85,6151,1966,1088,0,0
21,86,6072,1964,1167,2,0
21,87,5948,2010,1244,3,0
22,88,5803,2078,1319,5,0
22,89,5673,2140,1387,5,0
22,90,5562,2165,1472,6,0
22,91,5406,2232,1561,6,0
23,92,5242,2292,1665,6,0
23,93,5129,2327,1742,7,0
23,94,5013,2339,1841,12,0
23,95,4844,2414,1935,12,0
24,96,4664,2493,2036,12,0
24,97,4549,2519,2124,13,0
24,98,4431,2555,2202,17,0
24,99,4302,2598,2286,19,0
25,100,4155,2652,2378,20,0
25,101,4059,2650,2474,22,0
25,102,3983,2620,2580,22,0
25,103,3873,2635,2672,25,0
26,104,3730,2677,2772,26,0
26,105,3644,2654,2881,26,0
26,106,3577,2600,2998,30,0
26,107,3462,2612,3100,31,0
27,108,3344,2607,3220,34,0
27,109,3274,2572,3321,38,0
