day,cycle,susceptible,latent,infected,recovered,dead
0,0,9195,10,0,0,0
0,1,9195,10,0,0,0
0,2,9195,10,0,0,0
0,3,9195,10,0,0,0
1,4,9195,10,0,0,0
1,5,9195,10,0,0,0
1,6,9195,9,1,0,0
1,7,9195,9,1,0,0
2,8,9195,9,1,0,0
2,9,9195,9,1,0,0
2,10,9195,9,1,0,0
2,11,9195,9,1,0,0
3,12,9195,7,3,0,0
3,13,9193,8,4,0,0
3,14,9193,8,4,0,0
3,15,9191,10,4,0,0
4,16,9190,10,5,0,0
4,17,9187,13,5,0,0
4,18,9187,10,8,0,0
4,19,9186,11,8,0,0
5,20,9179,18,8,0,0
5,21,9178,18,9,0,0
5,22,9174,22,9,0,0
5,23,9168,27,10,0,0
6,24,9162,33,10,0,0
6,25,9160,35,10,0,0
6,26,9155,40,10,0,0
6,27,9154,40,11,0,0
7,28,9149,45,11,0,0
7,29,9148,44,13,0,0
7,30,9144,48,13,0,0
7,31,9143,47,15,0,0
8,32,9135,51,19,0,0
8,33,9130,53,22,0,0
8,34,9116,64,25,0,0
8,35,9102,78,25,0,0
9,36,9094,81,30,0,0
9,37,9089,83,33,0,0
9,38,9075,93,37,0,0
9,39,9064,102,39,0,0
10,40,9043,119,43,0,0
10,41,9030,130,45,0,0
10,42,9014,142,49,0,0
10,43,8996,157,52,0,0
11,44,8975,175,55,0,0
11,45,8960,187,58,0,0
11,46,8943,199,63,0,0
11,47,8909,223,73,0,0
12,48,8872,253,80,0,0
12,49,8845,273,87,0,0
12,50,8814,298,93,0,0
12,51,8787,317,101,0,0
13,52,8738,352,115,0,0
13,53,8701,382,122,0,0
13,54,8662,410,133,0,0
13,55,8627,434,144,0,0
14,56,8606,444,155,0,0
14,57,8587,451,167,0,0
14,58,8559,464,182,0,0
14,59,8503,511,191,0,0
15,60,8428,567,210,0,0
15,61,8356,623,226,0,0
15,62,8294,674,237,0,0
15,63,8202,741,262,0,0
16,64,8110,812,283,0,0
16,65,8041,855,309,0,0
16,66,7947,926,332,0,0
16,67,7838,1008,359,0,0
17,68,7716,1099,390,0,0
17,69,7616,1160,429,0,0
17,70,7494,1257,454,0,0
17,71,7375,1336,494,0,0
18,72,7237,1440,528,0,0
18,73,7129,1509,567,0,0
18,74,7021,1574,610,0,0
18,75,6873,1680,651,1,0
19,76,6717,1777,710,1,0
19,77,6614,1825,765,1,0
19,78,6516,1864,823,2,0
19,79,6370,1948,885,2,0
20,80,6202,2053,947,3,0
20,81,6102,2093,1007,3,0
20,82,6026,2102,1072,5,0
20,83,5952,2117,1131,5,0
21,84,5878,2126,1196,5,0
21,85,5821,2103,1275,6,0
21,86,5735,2113,1349,8,0
